0	5.61231	0	0	0	0	0	0	-2.80616
0.1	5.61231	0	0	0	0	0	0	-2.80616
0.2	5.61231	0	0	-0.561231	0	0	0.15749	-2.80616
0.3	5.55619	0	0	-1.12246	0	0	0.629961	-2.77809
0.4	5.44394	0	0	-1.67808	0	0	1.40798	-2.72197
0.5	5.27613	0	0	-2.22247	0	0	2.4697	-2.63807
0.6	5.05389	0	0	-2.75009	0	0	3.78149	-2.52694
0.7	4.77888	0	0	-3.25548	0	0	5.29906	-2.38944
0.8	4.45333	0	0	-3.73336	0	0	6.969	-2.22666
0.9	4.07999	0	0	-4.1787	0	0	8.73076	-2.04
1	3.66212	0	0	-4.5867	0	0	10.5189	-1.83106
1.1	3.20345	0	0	-4.95291	0	0	12.2657	-1.60173
1.2	2.70816	0	0	-5.27325	0	0	13.9036	-1.35408
1.3	2.18084	0	0	-5.54407	0	0	15.3684	-1.09042
1.4	1.62643	0	0	-5.76215	0	0	16.6012	-0.813215
1.5	1.05021	0	0	-5.9248	0	0	17.5516	-0.525107
1.6	0.457735	0	0	-6.02982	0	0	18.1794	-0.228867
1.7	-0.145247	0	0	-6.07559	0	0	18.4564	-0.0726236
1.8	-0.752806	0	0	-6.06107	0	0	18.3683	-0.376403
1.9	-1.35891	0	0	-5.98579	0	0	17.9148	-0.679457
2	-1.95749	0	0	-5.8499	0	0	17.1106	-0.978746
2.1	-2.54248	0	0	-5.65415	0	0	15.9847	-1.27124
2.2	-3.1079	0	0	-5.3999	0	0	14.5794	-1.55395
2.3	-3.64789	0	0	-5.08911	0	0	12.9495	-1.82394
2.4	-4.1568	0	0	-4.72432	0	0	11.1596	-2.0784
2.5	-4.62923	0	0	-4.30864	0	0	9.28219	-2.31461
2.6	-5.06009	0	0	-3.84572	0	0	7.39477	-2.53005
2.7	-5.44466	0	0	-3.33971	0	0	5.57682	-2.72233
2.8	-5.77863	0	0	-2.79524	0	0	3.90669	-2.88932
2.9	-6.05816	0	0	-2.21738	0	0	2.45838	-3.02908
3	-6.2799	0	0	-1.61156	0	0	1.29857	-3.13995
3.1	-6.44105	0	0	-0.983573	0	0	0.483707	-3.22053
3.2	-6.53941	0	0	-0.339467	0	0	0.057619	-3.26971
3.3	-6.57336	0	0	0.314474	0	0	0.0494469	-3.28668
3.4	-6.54191	0	0	0.97181	0	0	0.472207	-3.27095
3.5	-6.44473	0	0	1.626	0	0	1.32194	-3.22236
3.6	-6.28213	0	0	2.27047	0	0	2.57752	-3.14106
3.7	-6.05508	0	0	2.89869	0	0	4.20119	-3.02754
3.8	-5.76521	0	0	3.50419	0	0	6.13969	-2.88261
3.9	-5.41479	0	0	4.08072	0	0	8.32612	-2.7074
4	-5.00672	0	0	4.6222	0	0	10.6823	-2.50336
4.1	-4.5445	0	0	5.12287	0	0	13.1219	-2.27225
4.2	-4.03222	0	0	5.57732	0	0	15.5532	-2.01611
4.3	-3.47448	0	0	5.98054	0	0	17.8834	-1.73724
4.4	-2.87643	0	0	6.32799	0	0	20.0217	-1.43821
4.5	-2.24363	0	0	6.61563	0	0	21.8833	-1.12182
4.6	-1.58207	0	0	6.83999	0	0	23.3928	-0.791034
4.7	-0.898069	0	0	6.9982	0	0	24.4874	-0.449034
4.8	-0.198249	0	0	7.08801	0	0	25.1199	-0.0991244
4.9	0.510552	0	0	7.10783	0	0	25.2606	-0.255276
5	1.22134	0	0	7.05678	0	0	24.899	-0.610668
5.1	1.92701	0	0	6.93464	0	0	24.0446	-0.963506
5.2	2.62048	0	0	6.74194	0	0	22.7269	-1.31024
5.3	3.29467	0	0	6.47989	0	0	20.9945	-1.64734
5.4	3.94266	0	0	6.15043	0	0	18.9139	-1.97133
5.5	4.5577	0	0	5.75616	0	0	16.5667	-2.27885
5.6	5.13332	0	0	5.30039	0	0	14.0471	-2.56666
5.7	5.66336	0	0	4.78706	0	0	11.458	-2.83168
5.8	6.14206	0	0	4.22072	0	0	8.90725	-3.07103
5.9	6.56414	0	0	3.60652	0	0	6.50348	-3.28207
6	6.92479	0	0	2.9501	0	0	4.35155	-3.46239
6.1	7.2198	0	0	2.25762	0	0	2.54843	-3.6099
